team,model,score,timestamp_utc,notes
hadilaff,GCN,0.6076,3/8/2026 0:15:13,Model: GCN
Tasneem Selim,GRAPHSAGE,0.5201,3/9/2026 17:40:33,Model: GRAPHSAGE
VinitSingroha,GAT,0.8914,3/14/2026 12:09:20,Model: GAT
Gurur Gamgam,GAT,0.8898,3/17/2026 18:52:44,Model: GAT
nourMaj,GAT,0.6976,3/21/2026 20:00:58,Model: GAT
faranbutt,GAT,0.8336,3/23/2026 9:00:20,Model: GAT
bjayadikary,GRAPHSAGE,0.807,3/25/2026 6:47:52,Model: GRAPHSAGE
Emmanuel Owusu,GAT,0.8223,3/26/2026 21:21:26,Model: GAT
Muhammad Isah,GAT,0.7422,4/3/2026 2:45:52,Model: GAT
Abderrahmane,GAT,0.7423,4/3/2026 23:40:27,Model: GAT
sanae Zrigui,GCN,0.6244,4/4/2026 1:10:24,Model: GCN
samuelmatia,GIN,0.5767,4/4/2026 2:46:48,Model: GIN
Idrees_bhat,GAT,0.5782,4/4/2026 8:54:07,Model: GAT
El-Ikram,GAT,0.5076,4/4/2026 19:30:43,Model: GAT
TugaYousif,GAT,0.7826,4/5/2026 6:56:12,Model: GAT
Peguy,GCN,0.664,4/9/2026 12:10:37,Model: GCN
MahaTeam,GAT,0.7095,4/15/2026 20:30:49,Model: GAT
LLM_Claude_Opus_47,GRAPHSAGE,0.6962,5/6/2026 3:21:01,Model: GRAPHSAGE
llm_Gemini_2.5pro_api,GAT,0.8754,5/13/2026 20:05:11,Model: GAT
